DOP, Force
-0.00476506, 0
-0.00476506, 0
-0.00476506, 0
-0.00476506, 0
-0.00476506, 0
-0.00462565, 0
-0.00462565, 0
-0.00462565, 0
-0.00462565, 0
-0.00462565, 0
-0.00451324, 0
-0.00451324, 0
-0.00451324, 0
-0.00451324, 0
-0.00451324, 0
-0.00441927, 0
-0.00441927, 0
-0.00441927, 0
-0.00441927, 0
-0.00441927, 0
-0.00433913, 0
-0.00433913, 0
-0.00433913, 0
-0.00433913, 0
-0.00433913, 0
-0.0042697, 0
-0.0042697, 0
-0.0042697, 0
-0.0042697, 0
-0.0042697, 0
-0.00421024, 0
-0.00421024, 0
-0.00421024, 0
-0.00421024, 0
-0.00421024, 0
-0.00416026, 0
-0.00416026, 0
-0.00416026, 0
-0.00416026, 0
-0.00416026, 0
-0.00411887, 0
-0.00411887, 0
-0.00411887, 0
-0.00411887, 0
-0.00411887, 0
-0.00407497, 0
-0.00407497, 0
-0.00407497, 0
-0.00407497, 0
-0.00407497, 0
-0.00401444, 0
-0.00401444, 0
-0.00401444, 0
-0.00401444, 0
-0.00401444, 0
-0.00397072, 0
-0.00397072, 0
-0.00397072, 0
-0.00397072, 0
-0.00397072, 0
-0.00392709, 0
-0.00392709, 0
-0.00392709, 0
-0.00392709, 0
-0.00392709, 0
-0.00389485, 0
-0.00389485, 0
-0.00389485, 0
-0.00389485, 0
-0.00389485, 0
-0.00387118, 0
-0.00387118, 0
-0.00387118, 0
-0.00387118, 0
-0.00387118, 0
-0.00385351, 0
-0.00385351, 0
-0.00385351, 0
-0.00385351, 0
-0.00385351, 0
-0.00382407, 0
-0.00382407, 0
-0.00382407, 0
-0.00382407, 0
-0.00382407, 0
-0.00376974, 0
-0.00376974, 0
-0.00376974, 0
-0.00376974, 0
-0.00376974, 0
-0.00370358, 0
-0.00370358, 0
-0.00370358, 0
-0.00370358, 0
-0.00370358, 0
-0.00365592, 0
-0.00365592, 0
-0.00365592, 0
-0.00365592, 0
-0.00365592, 0
-0.0036198, 0
-0.0036198, 0
-0.0036198, 0
-0.0036198, 0
-0.0036198, 0
-0.00359164, 0
-0.00359164, 0
-0.00359164, 0
-0.00359164, 0
-0.00359164, 0
-0.00359164, 0
-0.00359164, 0
-0.00356994, 0
-0.00356994, 0
-0.00356994, 0
-0.00356994, 0
-0.00356994, 0
-0.00353612, 0
-0.00353612, 0
-0.00353612, 0
-0.00353612, 0
-0.00353612, 0
-0.0034778, 0
-0.0034778, 0
-0.0034778, 0
-0.0034778, 0
-0.0034778, 0
-0.00340788, 0
-0.00340788, 0
-0.00340788, 0
-0.00340788, 0
-0.00340788, 0
-0.00332867, 0
-0.00332867, 0
-0.00332867, 0
-0.00332867, 0
-0.00332867, 0
-0.0032688, 0
-0.0032688, 0
-0.0032688, 0
-0.0032688, 0
-0.0032688, 0
-0.0032111, 0
-0.0032111, 0
-0.0032111, 0
-0.0032111, 0
-0.0032111, 0
-0.00314831, 0
-0.00314831, 0
-0.00314831, 0
-0.00314831, 0
-0.00314831, 0
-0.00309904, 0
-0.00309904, 0
-0.00309904, 0
-0.00309904, 0
-0.00309904, 0
-0.00305854, 0
-0.00305854, 0
-0.00305854, 0
-0.00305854, 0
-0.00305854, 0
-0.00300836, 0
-0.00300836, 0
-0.00300836, 0
-0.00300836, 0
-0.00300836, 0
-0.00296979, 0
-0.00296979, 0
-0.00296979, 0
-0.00296979, 0
-0.00296979, 0
-0.00293913, 0
-0.00293913, 0
-0.00293913, 0
-0.00293913, 0
-0.00293913, 0
-0.00290411, 0
-0.00290411, 0
-0.00290411, 0
-0.00290411, 0
-0.00290411, 0
-0.00286102, 0
-0.00286102, 0
-0.00286102, 0
-0.00286102, 0
-0.00286102, 0
-0.00282895, 0
-0.00282895, 0
-0.00282895, 0
-0.00282895, 0
-0.00282895, 0
-0.00280499, 0
-0.00280499, 0
-0.00280499, 0
-0.00280499, 0
-0.00280499, 0
-0.00278669, 0
-0.00278669, 0
-0.00278669, 0
-0.00278669, 0
-0.00278669, 0
-0.0027734, 0
-0.0027734, 0
-0.0027734, 0
-0.0027734, 0
-0.0027734, 0
-0.0027638, 0
-0.0027638, 0
-0.0027638, 0
-0.0027638, 0
-0.0027638, 0
-0.00275719, 0
-0.00275719, 0
-0.00275719, 0
-0.00275719, 0
-0.00275719, 0
-0.0027362, 0
-0.0027362, 0
-0.0027362, 0
-0.0027362, 0
-0.0027362, 0
-0.00269526, 0
-0.00269526, 0
-0.00269526, 0
-0.00269526, 0
-0.00269526, 0
-0.00266697, 0
-0.00266697, 0
-0.00266697, 0
-0.00266697, 0
-0.00266697, 0
-0.00263586, 0
-0.00263586, 0
-0.00263586, 0
-0.00263586, 0
-0.00263586, 0
-0.00263586, 0
-0.00261336, 0
-0.00261336, 0
-0.00261336, 0
-0.00261336, 0
-0.00261336, 0
-0.00259634, 0
-0.00259634, 0
-0.00259634, 0
-0.00259634, 0
-0.00259634, 0
-0.00258356, 0
-0.00258356, 0
-0.00258356, 0
-0.00258356, 0
-0.00258356, 0
-0.00257334, 0
-0.00257334, 0
-0.00257334, 0
-0.00257334, 0
-0.00257334, 0
-0.00254875, 0
-0.00254875, 0
-0.00254875, 0
-0.00254875, 0
-0.00254875, 0
-0.00251463, 0
-0.00251463, 0
-0.00251463, 0
-0.00251463, 0
-0.00251463, 0
-0.0024563, 0
-0.0024563, 0
-0.0024563, 0
-0.0024563, 0
-0.0024563, 0
-0.0023978, 0
-0.0023978, 0
-0.0023978, 0
-0.0023978, 0
-0.0023978, 0
-0.00233716, 0
-0.00233716, 0
-0.00233716, 0
-0.00233716, 0
-0.00233716, 0
-0.00229126, 0
-0.00229126, 0
-0.00229126, 0
-0.00229126, 0
-0.00229126, 0
-0.00225395, 0
-0.00225395, 0
-0.00225395, 0
-0.00225395, 0
-0.00225395, 0
-0.00220677, 0
-0.00220677, 0
-0.00220677, 0
-0.00220677, 0
-0.00220677, 0
-0.00216931, 0
-0.00216931, 0
-0.00216931, 0
-0.00216931, 0
-0.00216931, 0
-0.00212148, 0
-0.00212148, 0
-0.00212148, 0
-0.00212148, 0
-0.00212148, 0
-0.00205094, 0
-0.00205094, 0
-0.00205094, 0
-0.00205094, 0
-0.00205094, 0
-0.00195349, 0
-0.00195349, 0
-0.00195349, 0
-0.00195349, 0
-0.00195349, 0
-0.00183002, 0
-0.00183002, 0
-0.00183002, 0
-0.00183002, 0
-0.00183002, 0
-0.00171919, 0
-0.00171919, 0
-0.00171919, 0
-0.00171919, 0
-0.00171919, 0
-0.00163106, 0
-0.00163106, 0
-0.00163106, 0
-0.00163106, 0
-0.00163106, 0
-0.00155757, 0
-0.00155757, 0
-0.00155757, 0
-0.00155757, 0
-0.00155757, 0
-0.00149382, 0
-0.00149382, 0
-0.00149382, 0
-0.00149382, 0
-0.00149382, 0
-0.00143887, 0
-0.00143887, 0
-0.00143887, 0
-0.00143887, 0
-0.00143887, 0
-0.0013919, 0
-0.0013919, 0
-0.0013919, 0
-0.0013919, 0
-0.0013919, 0
