DOP, Force
-0.00470656, 0
-0.00470656, 0
-0.00470656, 0
-0.00470656, 0
-0.00470656, 0
-0.00453592, 0
-0.00453592, 0
-0.00453592, 0
-0.00453592, 0
-0.00453592, 0
-0.00437798, 0
-0.00437798, 0
-0.00437798, 0
-0.00437798, 0
-0.00437798, 0
-0.00437798, 0
-0.00437798, 0
-0.00422379, 0
-0.00422379, 0
-0.00422379, 0
-0.00422379, 0
-0.00422379, 0
-0.00403637, 0
-0.00403637, 0
-0.00403637, 0
-0.00403637, 0
-0.00403637, 0
-0.0038528, 0
-0.0038528, 0
-0.0038528, 0
-0.0038528, 0
-0.0038528, 0
-0.00369376, 0
-0.00369376, 0
-0.00369376, 0
-0.00369376, 0
-0.00369376, 0
-0.00352179, 0
-0.00352179, 0
-0.00352179, 0
-0.00352179, 0
-0.00352179, 0
-0.00336359, 0
-0.00336359, 0
-0.00336359, 0
-0.00336359, 0
-0.00336359, 0
-0.0032256, 0
-0.0032256, 0
-0.0032256, 0
-0.0032256, 0
-0.0032256, 0
-0.00307735, 0
-0.00307735, 0
-0.00307735, 0
-0.00307735, 0
-0.00307735, 0
-0.00307735, 0
-0.00294759, 0
-0.00294759, 0
-0.00294759, 0
-0.00294759, 0
-0.00294759, 0
-0.0028329, 0
-0.0028329, 0
-0.0028329, 0
-0.0028329, 0
-0.0028329, 0
-0.00264523, 0
-0.00264523, 0
-0.00264523, 0
-0.00264523, 0
-0.00264523, 0
-0.00250242, 0
-0.00250242, 0
-0.00250242, 0
-0.00250242, 0
-0.00250242, 0
-0.0023593, 0
-0.0023593, 0
-0.0023593, 0
-0.0023593, 0
-0.0023593, 0
-0.00220615, 0
-0.00220615, 0
-0.00220615, 0
-0.00220615, 0
-0.00220615, 0
-0.00208688, 0
-0.00208688, 0
-0.00208688, 0
-0.00208688, 0
-0.00208688, 0
-0.0019218, 0
-0.0019218, 0
-0.0019218, 0
-0.0019218, 0
-0.0019218, 0
-0.0019218, 0
-0.00174424, 0
-0.00174424, 0
-0.00174424, 0
-0.00174424, 0
-0.00174424, 0
-0.00159633, 0
-0.00159633, 0
-0.00159633, 0
-0.00159633, 0
-0.00159633, 0
-0.00147823, 0
-0.00147823, 0
-0.00147823, 0
-0.00147823, 0
-0.00147823, 0
-0.00134707, 0
-0.00134707, 0
-0.00134707, 0
-0.00134707, 0
-0.00134707, 0
-0.00122339, 0
-0.00122339, 0
-0.00122339, 0
-0.00122339, 0
-0.00122339, 0
-0.0010911, 0
-0.0010911, 0
-0.0010911, 0
-0.0010911, 0
-0.0010911, 0
-0.000953565, 0
-0.000953565, 0
-0.000953565, 0
-0.000953565, 0
-0.000953565, 0
-0.000836652, 0
-0.000836652, 0
-0.000836652, 0
-0.000836652, 0
-0.000836652, 0
-0.000720127, 0
-0.000720127, 0
-0.000720127, 0
-0.000720127, 0
-0.000720127, 0
-0.000720127, 0
-0.000615493, 0
-0.000615493, 0
-0.000615493, 0
-0.000615493, 0
-0.000615493, 0
-0.000508951, 0
-0.000508951, 0
-0.000508951, 0
-0.000508951, 0
-0.000508951, 0
-0.000402171, 0
-0.000402171, 0
-0.000402171, 0
-0.000402171, 0
-0.000402171, 0
-0.000284871, 0
-0.000284871, 0
-0.000284871, 0
-0.000284871, 0
-0.000284871, 0
-0.000156812, 0
-0.000156812, 0
-0.000156812, 0
-0.000156812, 0
-0.000156812, 0
-3.01831e-05, 0
-3.01831e-05, 0
-3.01831e-05, 0
-3.01831e-05, 0
-3.01831e-05, 0
6.65545e-05, 0.0735807
6.65545e-05, 0.0735807
6.65545e-05, 0.0735807
6.65545e-05, 0.0735807
6.65545e-05, 0.0735807
0.000167524, 0.0734318
0.000167524, 0.0734318
0.000167524, 0.0734318
0.000167524, 0.0734318
0.000167524, 0.0734318
0.000167524, 0.0734318
0.000298802, 0.0737421
0.000298802, 0.0737421
0.000298802, 0.0737421
0.000298802, 0.0737421
0.000298802, 0.0737421
0.000437114, 0.0744988
0.000437114, 0.0744988
0.000437114, 0.0744988
0.000437114, 0.0744988
0.000437114, 0.0744988
0.000567916, 0.0754796
0.000567916, 0.0754796
0.000567916, 0.0754796
0.000567916, 0.0754796
0.000567916, 0.0754796
0.000694755, 0.076648
0.000694755, 0.076648
0.000694755, 0.076648
0.000694755, 0.076648
0.000694755, 0.076648
